156.21084404 , 
268.85244298 , 
326.314567089 , 
352.338100195 , 
354.713675976 , 
366.073244095 , 
379.321221113 , 
385.784803152 , 
390.481019974 , 
396.720343113 , 
399.768164158 , 
407.712049007 , 
413.743957996 , 
433.367616177 , 
485.781970978 , 
506.756906033 , 
520.725390196 , 
558.163556099 , 
575.851364136 , 
588.858644009 , 
591.962491989 , 
608.953907967 , 
624.161202192 , 
671.112409115 , 
680.192337036 , 
701.559869051 , 
717.646715164 , 
871.691013098 , 
872.046763182 , 
896.807679176 , 
903.075922012 , 
1026.50482607 , 
1251.54581904 , 
1438.82577515 , 
1443.66490507 , 
1449.97649908 , 
1451.27248001 , 
1473.61669707 , 
1478.92881012 , 
1499.45559502 , 
1505.19899106 , 
1505.49542999 , 
1514.46252203 , 
1540.71012616 , 
1545.70194006 , 
1547.74186206 , 
1554.75738406 , 
1555.86932707 , 
1598.46818805 , 
1700.67357302 , 
1707.44127297 , 
1710.53691506 , 
1726.832515 , 
1728.30480099 , 
1730.36005402 , 
1730.75258899 , 
1731.57083106 , 
1737.32037616 , 
1741.18390512 , 
1753.8313911 , 
1770.97490001 , 
1771.76991105 , 
1778.21454215 , 
1878.88338804 , 
1904.21890306 , 
1913.61044502 , 
1919.57061815 , 
1921.57841015 , 
1923.11440015 , 
1924.23429298 , 
1925.06664014 , 
1925.93843007 , 
1947.1213181 , 
2000.55975509 , 
2001.54380918 , 
2002.54394317 , 
2008.79158902 , 
2133.25459218 , 
2133.77995205 , 
2141.83658218 , 
2167.73874497 , 
2169.33904409 , 
2182.69865417 , 
2219.88102603 , 
2239.62713003 , 
2247.88870311 , 
2255.60827017 , 
2380.73282218 , 
2407.96423817 , 
2447.38667917 , 
2491.49128413 , 
2542.65542102 , 
2554.46310115 , 
2568.023278 , 
2600.24593997 , 
2603.92597198 , 
2653.68505216 , 
2675.59543705 , 
2675.94736814 , 
2727.00987697 , 
2741.60959697 , 
2742.76128697 , 
2744.48139119 , 
2764.12140417 , 
2777.76019502 , 
2801.35200405 , 
2803.88772511 , 
2828.5665741 , 
2833.40917015 , 
2838.67065907 , 
2840.34244418 , 
2873.14949703 , 
2975.92222619 , 
2979.17834115 , 
2987.17133904 , 
2995.76985812 , 
3007.07371211 , 
3009.69108009 , 
3010.42582417 , 
3168.67622709 , 
3181.75576997 , 
3183.19607401 , 
3256.89199209 , 
3274.56119013 , 
3276.31312203 , 
3415.57270718 , 
3474.55553913 , 
3588.54445004 , 
3599.27130413 , 
3607.79940605 , 
3609.60702109 , 
3614.25462413 , 
3615.21507907 , 
3619.31223011 , 
3622.5586431 , 
3720.13173819 , 
3723.06745601 , 
3732.41934705 , 
3747.25891113 , 
3753.76283717 , 
3764.07442498 , 
3766.22630501 , 
3804.80902815 , 
3809.78483605 , 
3812.94485307 , 
3818.95263815 , 
3819.47293806 , 
3820.57670116 , 
3832.856457 , 
3839.25657701 , 
3842.37605 , 
3843.68039203 , 
3848.11200714 , 
3854.61532998 , 
3915.59003997 , 
3972.54791617 , 
3988.13027906 , 
4048.66597319 , 
4207.9327631 , 
4285.78680897 , 
4289.52246499 , 
4320.08165598 , 
4322.37776518 , 
4326.53692102 , 
4349.36280012 , 
4360.03236103 , 
4374.31175113 , 
4393.59124398 , 
4409.32783818 , 
4424.79277205 , 
4425.63022208 , 
4426.77499008 , 
4444.88555908 , 
4462.37352109 , 
4464.55673099 , 
4617.88080502 , 
4631.02391601 , 
4638.08770609 , 
4674.21436501 , 
4702.61408997 , 
4703.3976872 , 
4704.58991814 , 
4711.69358206 , 
4751.82087016 , 
4811.61816812 , 
4857.24923205 , 
4875.85687709 , 
4877.85623717 , 
4880.57611418 , 
4887.70468616 , 
4927.078758 , 
4934.16676807 , 
4960.59848404 , 
4980.50289607 , 
4986.38930511 , 
4988.06097817 , 
5006.004673 , 
5029.37165308 , 
5046.33178711 , 
5072.46047211 , 
5083.17083406 , 
5091.33119202 , 
5096.28962898 , 
5100.97763419 , 
5168.52736712 , 
5173.55974317 , 
5183.03116918 , 
5187.63114619 , 
5195.60646105 , 
5197.23904014 , 
5205.59091401 , 
5225.00598812 , 
5230.91030717 , 
5236.797472 , 
5261.276618 , 
5263.56470919 , 
5265.97247505 , 
5267.93278313 , 
5272.88460112 , 
5286.51608706 , 
5290.57165003 , 
5298.31552005 , 
5302.07614708 , 
5473.91093898 , 
5527.86048102 , 
5566.2865231 , 
5575.06711817 , 
5577.44329906 , 
5736.45397115 , 
5775.9089551 , 
5782.52488899 , 
5783.18076301 , 
5790.06090403 , 
5797.15770602 , 
5807.32403398 , 
5828.71564412 , 
5833.97951603 , 
5836.06726718 , 
5884.22565198 , 
5901.18500018 , 
5907.19343805 , 
5990.79088497 , 
5991.32691312 , 
6026.34950519 , 
6056.95648003 , 
6102.11517501 , 
6178.50457597 , 
6392.77032113 , 
6440.15287709 , 
6473.40004301 , 
6502.68703008 , 
6526.90234709 , 
6534.8664031 , 
6559.73322701 , 
6573.79651499 , 
6577.66873908 , 
6581.63064313 , 
6587.43650198 , 
6587.85355401 , 
6589.91190004 , 
6592.74015808 , 
6594.49187517 , 
6597.18853903 , 
6601.16378617 , 
6604.00418305 , 
6605.67650509 , 
6678.07389903 , 
6679.27362704 , 
6700.88934016 , 
6701.51348805 , 
6702.13709712 , 
6702.72881103 , 
6704.07255912 , 
6722.68800616 , 
6727.78560019 , 
6738.5127852 , 
6741.17601418 , 
6744.37632418 , 
6746.44832015 , 
6747.49526501 , 
6749.99939919 , 
6754.09545398 , 
6762.24710917 , 
